obs_id	sample_id	cell_type	specimen_id	section_id	compartment	stratum	x	y	distance	exclude
S3_1_5	S3	T	spec-S3	sec-S3-1	tissue	all	0	10	0	false
S3_1_6	S3	T	spec-S3	sec-S3-1	tissue	all	10	10	10	false
S3_1_7	S3	T	spec-S3	sec-S3-1	tissue	all	20	10	20	false
S3_1_8	S3	T	spec-S3	sec-S3-1	tissue	all	30	10	30	false
S3_1_9	S3	T	spec-S3	sec-S3-1	tissue	all	40	10	40	false
S3_1_10	S3	B	spec-S3	sec-S3-1	tissue	all	0	20	0	false
S3_1_11	S3	B	spec-S3	sec-S3-1	tissue	all	10	20	10	false
S3_1_12	S3	B	spec-S3	sec-S3-1	tissue	all	20	20	20	false
S3_1_13	S3	B	spec-S3	sec-S3-1	tissue	all	30	20	30	false
S3_1_14	S3	B	spec-S3	sec-S3-1	tissue	all	40	20	40	false
S3_1_15	S3	B	spec-S3	sec-S3-1	tissue	all	0	30	0	false
S3_1_16	S3	B	spec-S3	sec-S3-1	tissue	all	10	30	10	false
S3_1_17	S3	B	spec-S3	sec-S3-1	tissue	all	20	30	20	false
S3_1_18	S3	B	spec-S3	sec-S3-1	tissue	all	30	30	30	false
S3_1_19	S3	B	spec-S3	sec-S3-1	tissue	all	40	30	40	false
S4_0_0	S4	T	spec-S4	sec-S4-0	tissue	all	0	0	0	false
S4_0_1	S4	T	spec-S4	sec-S4-0	tissue	all	10	0	10	false
S4_0_2	S4	T	spec-S4	sec-S4-0	tissue	all	20	0	20	false
S4_0_3	S4	T	spec-S4	sec-S4-0	tissue	all	30	0	30	false
S4_0_4	S4	T	spec-S4	sec-S4-0	tissue	all	40	0	40	false
S4_0_5	S4	T	spec-S4	sec-S4-0	tissue	all	0	10	0	false
S4_0_6	S4	T	spec-S4	sec-S4-0	tissue	all	10	10	10	false
S4_0_7	S4	T	spec-S4	sec-S4-0	tissue	all	20	10	20	false
S4_0_8	S4	T	spec-S4	sec-S4-0	tissue	all	30	10	30	false
S4_0_9	S4	T	spec-S4	sec-S4-0	tissue	all	40	10	40	false
S4_0_10	S4	T	spec-S4	sec-S4-0	tissue	all	0	20	0	false
S4_0_11	S4	B	spec-S4	sec-S4-0	tissue	all	10	20	10	false
S4_0_12	S4	B	spec-S4	sec-S4-0	tissue	all	20	20	20	false
S4_0_13	S4	B	spec-S4	sec-S4-0	tissue	all	30	20	30	false
S4_0_14	S4	B	spec-S4	sec-S4-0	tissue	all	40	20	40	false
S4_0_15	S4	B	spec-S4	sec-S4-0	tissue	all	0	30	0	false
S4_0_16	S4	B	spec-S4	sec-S4-0	tissue	all	10	30	10	false
S4_0_17	S4	B	spec-S4	sec-S4-0	tissue	all	20	30	20	false
S4_0_18	S4	B	spec-S4	sec-S4-0	tissue	all	30	30	30	false
S4_0_19	S4	B	spec-S4	sec-S4-0	tissue	all	40	30	40	false
S4_1_0	S4	T	spec-S4	sec-S4-1	tissue	all	0	0	0	false
S4_1_1	S4	T	spec-S4	sec-S4-1	tissue	all	10	0	10	false
S4_1_2	S4	T	spec-S4	sec-S4-1	tissue	all	20	0	20	false
S4_1_3	S4	T	spec-S4	sec-S4-1	tissue	all	30	0	30	false
S4_1_4	S4	T	spec-S4	sec-S4-1	tissue	all	40	0	40	false
S4_1_5	S4	T	spec-S4	sec-S4-1	tissue	all	0	10	0	false
S4_1_6	S4	T	spec-S4	sec-S4-1	tissue	all	10	10	10	false
S4_1_7	S4	T	spec-S4	sec-S4-1	tissue	all	20	10	20	false
S4_1_8	S4	T	spec-S4	sec-S4-1	tissue	all	30	10	30	false
S4_1_9	S4	T	spec-S4	sec-S4-1	tissue	all	40	10	40	false
S4_1_10	S4	T	spec-S4	sec-S4-1	tissue	all	0	20	0	false
S4_1_11	S4	B	spec-S4	sec-S4-1	tissue	all	10	20	10	false
S4_1_12	S4	B	spec-S4	sec-S4-1	tissue	all	20	20	20	false
S4_1_13	S4	B	spec-S4	sec-S4-1	tissue	all	30	20	30	false
S4_1_14	S4	B	spec-S4	sec-S4-1	tissue	all	40	20	40	false
S4_1_15	S4	B	spec-S4	sec-S4-1	tissue	all	0	30	0	false
S4_1_16	S4	B	spec-S4	sec-S4-1	tissue	all	10	30	10	false
S4_1_17	S4	B	spec-S4	sec-S4-1	tissue	all	20	30	20	false
S4_1_18	S4	B	spec-S4	sec-S4-1	tissue	all	30	30	30	false
S4_1_19	S4	B	spec-S4	sec-S4-1	tissue	all	40	30	40	false
S5_0_0	S5	T	spec-S5	sec-S5-0	tissue	all	0	0	0	false
S5_0_1	S5	T	spec-S5	sec-S5-0	tissue	all	10	0	10	false
S5_0_2	S5	T	spec-S5	sec-S5-0	tissue	all	20	0	20	false
S5_0_3	S5	T	spec-S5	sec-S5-0	tissue	all	30	0	30	false
S5_0_4	S5	T	spec-S5	sec-S5-0	tissue	all	40	0	40	false
S5_0_5	S5	T	spec-S5	sec-S5-0	tissue	all	0	10	0	false
S5_0_6	S5	T	spec-S5	sec-S5-0	tissue	all	10	10	10	false
S5_0_7	S5	T	spec-S5	sec-S5-0	tissue	all	20	10	20	false
S5_0_8	S5	T	spec-S5	sec-S5-0	tissue	all	30	10	30	false
S5_0_9	S5	T	spec-S5	sec-S5-0	tissue	all	40	10	40	false
S5_0_10	S5	B	spec-S5	sec-S5-0	tissue	all	0	20	0	false
S5_0_11	S5	B	spec-S5	sec-S5-0	tissue	all	10	20	10	false
S5_0_12	S5	B	spec-S5	sec-S5-0	tissue	all	20	20	20	false
S5_0_13	S5	B	spec-S5	sec-S5-0	tissue	all	30	20	30	false
S5_0_14	S5	B	spec-S5	sec-S5-0	tissue	all	40	20	40	false
S5_0_15	S5	B	spec-S5	sec-S5-0	tissue	all	0	30	0	false
S5_0_16	S5	B	spec-S5	sec-S5-0	tissue	all	10	30	10	false
S5_0_17	S5	B	spec-S5	sec-S5-0	tissue	all	20	30	20	false
S5_0_18	S5	B	spec-S5	sec-S5-0	tissue	all	30	30	30	false
S5_0_19	S5	B	spec-S5	sec-S5-0	tissue	all	40	30	40	false
S5_1_0	S5	T	spec-S5	sec-S5-1	tissue	all	0	0	0	false
S5_1_1	S5	T	spec-S5	sec-S5-1	tissue	all	10	0	10	false
S5_1_2	S5	T	spec-S5	sec-S5-1	tissue	all	20	0	20	false
S5_1_3	S5	T	spec-S5	sec-S5-1	tissue	all	30	0	30	false
S5_1_4	S5	T	spec-S5	sec-S5-1	tissue	all	40	0	40	false
S5_1_5	S5	T	spec-S5	sec-S5-1	tissue	all	0	10	0	false
S5_1_6	S5	T	spec-S5	sec-S5-1	tissue	all	10	10	10	false
S5_1_7	S5	T	spec-S5	sec-S5-1	tissue	all	20	10	20	false
S5_1_8	S5	T	spec-S5	sec-S5-1	tissue	all	30	10	30	false
S5_1_9	S5	T	spec-S5	sec-S5-1	tissue	all	40	10	40	false
S5_1_10	S5	B	spec-S5	sec-S5-1	tissue	all	0	20	0	false
S5_1_11	S5	B	spec-S5	sec-S5-1	tissue	all	10	20	10	false
S5_1_12	S5	B	spec-S5	sec-S5-1	tissue	all	20	20	20	false
S5_1_13	S5	B	spec-S5	sec-S5-1	tissue	all	30	20	30	false
S5_1_14	S5	B	spec-S5	sec-S5-1	tissue	all	40	20	40	false
S5_1_15	S5	B	spec-S5	sec-S5-1	tissue	all	0	30	0	false
S5_1_16	S5	B	spec-S5	sec-S5-1	tissue	all	10	30	10	false
S5_1_17	S5	B	spec-S5	sec-S5-1	tissue	all	20	30	20	false
S5_1_18	S5	B	spec-S5	sec-S5-1	tissue	all	30	30	30	false
S5_1_19	S5	B	spec-S5	sec-S5-1	tissue	all	40	30	40	false
S6_0_0	S6	T	spec-S6	sec-S6-0	tissue	all	0	0	0	false
S6_0_1	S6	T	spec-S6	sec-S6-0	tissue	all	10	0	10	false
S6_0_2	S6	T	spec-S6	sec-S6-0	tissue	all	20	0	20	false
S6_0_3	S6	T	spec-S6	sec-S6-0	tissue	all	30	0	30	false
S6_0_4	S6	T	spec-S6	sec-S6-0	tissue	all	40	0	40	false
S6_0_5	S6	T	spec-S6	sec-S6-0	tissue	all	0	10	0	false
S6_0_6	S6	T	spec-S6	sec-S6-0	tissue	all	10	10	10	false
S6_0_7	S6	T	spec-S6	sec-S6-0	tissue	all	20	10	20	false
S6_0_8	S6	T	spec-S6	sec-S6-0	tissue	all	30	10	30	false
S6_0_9	S6	T	spec-S6	sec-S6-0	tissue	all	40	10	40	false
S6_0_10	S6	T	spec-S6	sec-S6-0	tissue	all	0	20	0	false
S6_0_11	S6	B	spec-S6	sec-S6-0	tissue	all	10	20	10	false
S6_0_12	S6	B	spec-S6	sec-S6-0	tissue	all	20	20	20	false
S6_0_13	S6	B	spec-S6	sec-S6-0	tissue	all	30	20	30	false
S6_0_14	S6	B	spec-S6	sec-S6-0	tissue	all	40	20	40	false
S6_0_15	S6	B	spec-S6	sec-S6-0	tissue	all	0	30	0	false
S6_0_16	S6	B	spec-S6	sec-S6-0	tissue	all	10	30	10	false
S6_0_17	S6	B	spec-S6	sec-S6-0	tissue	all	20	30	20	false
S6_0_18	S6	B	spec-S6	sec-S6-0	tissue	all	30	30	30	false
S6_0_19	S6	B	spec-S6	sec-S6-0	tissue	all	40	30	40	false
S6_1_0	S6	T	spec-S6	sec-S6-1	tissue	all	0	0	0	false
S6_1_1	S6	T	spec-S6	sec-S6-1	tissue	all	10	0	10	false
S6_1_2	S6	T	spec-S6	sec-S6-1	tissue	all	20	0	20	false
S6_1_3	S6	T	spec-S6	sec-S6-1	tissue	all	30	0	30	false
S6_1_4	S6	T	spec-S6	sec-S6-1	tissue	all	40	0	40	false
S6_1_5	S6	T	spec-S6	sec-S6-1	tissue	all	0	10	0	false
S6_1_6	S6	T	spec-S6	sec-S6-1	tissue	all	10	10	10	false
S6_1_7	S6	T	spec-S6	sec-S6-1	tissue	all	20	10	20	false
S6_1_8	S6	T	spec-S6	sec-S6-1	tissue	all	30	10	30	false
S6_1_9	S6	T	spec-S6	sec-S6-1	tissue	all	40	10	40	false
S6_1_10	S6	T	spec-S6	sec-S6-1	tissue	all	0	20	0	false
S6_1_11	S6	B	spec-S6	sec-S6-1	tissue	all	10	20	10	false
S6_1_12	S6	B	spec-S6	sec-S6-1	tissue	all	20	20	20	false
S6_1_13	S6	B	spec-S6	sec-S6-1	tissue	all	30	20	30	false
S6_1_14	S6	B	spec-S6	sec-S6-1	tissue	all	40	20	40	false
S6_1_15	S6	B	spec-S6	sec-S6-1	tissue	all	0	30	0	false
S6_1_16	S6	B	spec-S6	sec-S6-1	tissue	all	10	30	10	false
S6_1_17	S6	B	spec-S6	sec-S6-1	tissue	all	20	30	20	false
S6_1_18	S6	B	spec-S6	sec-S6-1	tissue	all	30	30	30	false
S6_1_19	S6	B	spec-S6	sec-S6-1	tissue	all	40	30	40	false
S7_0_0	S7	T	spec-S7	sec-S7-0	tissue	all	0	0	0	false
S7_0_1	S7	T	spec-S7	sec-S7-0	tissue	all	10	0	10	false
S7_0_2	S7	T	spec-S7	sec-S7-0	tissue	all	20	0	20	false
S7_0_3	S7	T	spec-S7	sec-S7-0	tissue	all	30	0	30	false
S7_0_4	S7	T	spec-S7	sec-S7-0	tissue	all	40	0	40	false
S7_0_5	S7	T	spec-S7	sec-S7-0	tissue	all	0	10	0	false
S7_0_6	S7	T	spec-S7	sec-S7-0	tissue	all	10	10	10	false
S7_0_7	S7	T	spec-S7	sec-S7-0	tissue	all	20	10	20	false
S7_0_8	S7	T	spec-S7	sec-S7-0	tissue	all	30	10	30	false
S7_0_9	S7	T	spec-S7	sec-S7-0	tissue	all	40	10	40	false
S7_0_10	S7	T	spec-S7	sec-S7-0	tissue	all	0	20	0	false
S7_0_11	S7	T	spec-S7	sec-S7-0	tissue	all	10	20	10	false
S7_0_12	S7	B	spec-S7	sec-S7-0	tissue	all	20	20	20	false
S7_0_13	S7	B	spec-S7	sec-S7-0	tissue	all	30	20	30	false
S7_0_14	S7	B	spec-S7	sec-S7-0	tissue	all	40	20	40	false
S7_0_15	S7	B	spec-S7	sec-S7-0	tissue	all	0	30	0	false
S7_0_16	S7	B	spec-S7	sec-S7-0	tissue	all	10	30	10	false
S7_0_17	S7	B	spec-S7	sec-S7-0	tissue	all	20	30	20	false
S7_0_18	S7	B	spec-S7	sec-S7-0	tissue	all	30	30	30	false
S7_0_19	S7	B	spec-S7	sec-S7-0	tissue	all	40	30	40	false
S7_1_0	S7	T	spec-S7	sec-S7-1	tissue	all	0	0	0	false
S7_1_1	S7	T	spec-S7	sec-S7-1	tissue	all	10	0	10	false
S7_1_2	S7	T	spec-S7	sec-S7-1	tissue	all	20	0	20	false
S7_1_3	S7	T	spec-S7	sec-S7-1	tissue	all	30	0	30	false
S7_1_4	S7	T	spec-S7	sec-S7-1	tissue	all	40	0	40	false
S7_1_5	S7	T	spec-S7	sec-S7-1	tissue	all	0	10	0	false
S7_1_6	S7	T	spec-S7	sec-S7-1	tissue	all	10	10	10	false
S7_1_7	S7	T	spec-S7	sec-S7-1	tissue	all	20	10	20	false
S7_1_8	S7	T	spec-S7	sec-S7-1	tissue	all	30	10	30	false
S7_1_9	S7	T	spec-S7	sec-S7-1	tissue	all	40	10	40	false
S7_1_10	S7	T	spec-S7	sec-S7-1	tissue	all	0	20	0	false
S7_1_11	S7	T	spec-S7	sec-S7-1	tissue	all	10	20	10	false
S7_1_12	S7	B	spec-S7	sec-S7-1	tissue	all	20	20	20	false
S7_1_13	S7	B	spec-S7	sec-S7-1	tissue	all	30	20	30	false
S7_1_14	S7	B	spec-S7	sec-S7-1	tissue	all	40	20	40	false
S7_1_15	S7	B	spec-S7	sec-S7-1	tissue	all	0	30	0	false
S7_1_16	S7	B	spec-S7	sec-S7-1	tissue	all	10	30	10	false
S7_1_17	S7	B	spec-S7	sec-S7-1	tissue	all	20	30	20	false
S7_1_18	S7	B	spec-S7	sec-S7-1	tissue	all	30	30	30	false
S7_1_19	S7	B	spec-S7	sec-S7-1	tissue	all	40	30	40	false
S8_0_0	S8	T	spec-S8	sec-S8-0	tissue	all	0	0	0	false
S8_0_1	S8	T	spec-S8	sec-S8-0	tissue	all	10	0	10	false
S8_0_2	S8	T	spec-S8	sec-S8-0	tissue	all	20	0	20	false
S8_0_3	S8	T	spec-S8	sec-S8-0	tissue	all	30	0	30	false
S8_0_4	S8	T	spec-S8	sec-S8-0	tissue	all	40	0	40	false
S8_0_5	S8	T	spec-S8	sec-S8-0	tissue	all	0	10	0	false
S8_0_6	S8	T	spec-S8	sec-S8-0	tissue	all	10	10	10	false
S8_0_7	S8	T	spec-S8	sec-S8-0	tissue	all	20	10	20	false
S8_0_8	S8	T	spec-S8	sec-S8-0	tissue	all	30	10	30	false
S8_0_9	S8	T	spec-S8	sec-S8-0	tissue	all	40	10	40	false
S8_0_10	S8	T	spec-S8	sec-S8-0	tissue	all	0	20	0	false
S8_0_11	S8	T	spec-S8	sec-S8-0	tissue	all	10	20	10	false
S8_0_12	S8	T	spec-S8	sec-S8-0	tissue	all	20	20	20	false
S8_0_13	S8	B	spec-S8	sec-S8-0	tissue	all	30	20	30	false
S8_0_14	S8	B	spec-S8	sec-S8-0	tissue	all	40	20	40	false
S8_0_15	S8	B	spec-S8	sec-S8-0	tissue	all	0	30	0	false
S8_0_16	S8	B	spec-S8	sec-S8-0	tissue	all	10	30	10	false
S8_0_17	S8	B	spec-S8	sec-S8-0	tissue	all	20	30	20	false
S8_0_18	S8	B	spec-S8	sec-S8-0	tissue	all	30	30	30	false
S8_0_19	S8	B	spec-S8	sec-S8-0	tissue	all	40	30	40	false
S8_1_0	S8	T	spec-S8	sec-S8-1	tissue	all	0	0	0	false
S8_1_1	S8	T	spec-S8	sec-S8-1	tissue	all	10	0	10	false
S8_1_2	S8	T	spec-S8	sec-S8-1	tissue	all	20	0	20	false
S8_1_3	S8	T	spec-S8	sec-S8-1	tissue	all	30	0	30	false
S8_1_4	S8	T	spec-S8	sec-S8-1	tissue	all	40	0	40	false
S8_1_5	S8	T	spec-S8	sec-S8-1	tissue	all	0	10	0	false
S8_1_6	S8	T	spec-S8	sec-S8-1	tissue	all	10	10	10	false
S8_1_7	S8	T	spec-S8	sec-S8-1	tissue	all	20	10	20	false
S8_1_8	S8	T	spec-S8	sec-S8-1	tissue	all	30	10	30	false
S8_1_9	S8	T	spec-S8	sec-S8-1	tissue	all	40	10	40	false
S8_1_10	S8	T	spec-S8	sec-S8-1	tissue	all	0	20	0	false
S8_1_11	S8	T	spec-S8	sec-S8-1	tissue	all	10	20	10	false
S8_1_12	S8	T	spec-S8	sec-S8-1	tissue	all	20	20	20	false
S8_1_13	S8	B	spec-S8	sec-S8-1	tissue	all	30	20	30	false
S8_1_14	S8	B	spec-S8	sec-S8-1	tissue	all	40	20	40	false
S8_1_15	S8	B	spec-S8	sec-S8-1	tissue	all	0	30	0	false
S8_1_16	S8	B	spec-S8	sec-S8-1	tissue	all	10	30	10	false
S8_1_17	S8	B	spec-S8	sec-S8-1	tissue	all	20	30	20	false
S8_1_18	S8	B	spec-S8	sec-S8-1	tissue	all	30	30	30	false
S8_1_19	S8	B	spec-S8	sec-S8-1	tissue	all	40	30	40	false
